DepthCut,SpindleSpd,Stable/Unstable
0.021,1800,1
0.022,1800,1
0.023,1800,1
0.024,1800,1
0.025,1800,1
0.026,1800,1
0.027,1800,1
0.028,1800,1
0.029,1800,1
0.03,1800,1
0.031,1800,1
0.032,1800,1
0.033,1800,1
0.034,1800,1
0.035,1800,1
0.036,1800,1
0.037,1800,1
0.038,1800,1
0.039,1800,1
0.04,1800,1
0.041,1800,1
0.042,1800,1
0.043,1800,1
0.044,1800,1
0.045,1800,1
0.046,1800,1
0.047,1800,1
0.048,1800,1
0.049,1800,1
0.05,1800,1
0.051,1800,1
0.052,1800,1
0.053,1800,1
0.054,1800,1
0.055,1800,1
0.056,1800,1
0.057,1800,1
0.058,1800,1
0.059,1800,1
0.06,1800,1
0.061,1800,1
0.062,1800,1
0.063,1800,1
0.064,1800,1
0.065,1800,1
0.066,1800,1
0.067,1800,1
0.068,1800,1
0.069,1800,1
0.07,1800,1
0.071,1800,1
0.072,1800,1
0.073,1800,1
0.074,1800,1
0.075,1800,1
0.076,1800,1
0.077,1800,1
0.078,1800,1
0.079,1800,1
0.02,1825,1
0.021,1825,1
0.022,1825,1
0.023,1825,1
0.024,1825,1
0.025,1825,1
0.026,1825,1
0.027,1825,1
0.028,1825,1
0.029,1825,1
0.03,1825,1
0.031,1825,1
0.032,1825,1
0.033,1825,1
0.034,1825,1
0.035,1825,1
0.036,1825,1
0.037,1825,1
0.038,1825,1
0.039,1825,1
0.04,1825,1
0.02,1850,1
0.021,1850,1
0.022,1850,1
0.023,1850,1
0.024,1850,1
0.025,1850,1
0.026,1850,1
0.027,1850,1
0.028,1850,1
0.029,1850,1
0.03,1850,1
0.031,1850,1
0.032,1850,1
0.033,1850,1
0.034,1850,1
0.035,1850,1
0.02,1875,1
0.021,1875,1
0.022,1875,1
0.023,1875,1
0.024,1875,1
0.025,1875,1
0.026,1875,1
0.027,1875,1
0.028,1875,1
0.029,1875,1
0.03,1875,1
0.031,1875,1
0.032,1875,1
0.02,1910,1
0.021,1910,1
0.022,1910,1
0.023,1910,1
0.024,1910,1
0.025,1910,1
0.026,1910,1
0.027,1910,1
0.028,1910,1
0.029,1910,1
0.03,1910,1
0.031,1910,1
0.032,1910,1
0.02,1950,1
0.021,1950,1
0.022,1950,1
0.023,1950,1
0.024,1950,1
0.025,1950,1
0.026,1950,1
0.027,1950,1
0.028,1950,1
0.029,1950,1
0.03,1950,1
0.031,1950,1
0.032,1950,1
0.02,1975,1
0.021,1975,1
0.022,1975,1
0.023,1975,1
0.024,1975,1
0.025,1975,1
0.026,1975,1
0.027,1975,1
0.028,1975,1
0.029,1975,1
0.03,1975,1
0.031,1975,1
0.032,1975,1
0.033,1975,1
0.034,1975,1
0.035,1975,1
0.02,2000,1
0.021,2000,1
0.022,2000,1
0.023,2000,1
0.024,2000,1
0.025,2000,1
0.026,2000,1
0.027,2000,1
0.028,2000,1
0.029,2000,1
0.03,2000,1
0.031,2000,1
0.032,2000,1
0.033,2000,1
0.034,2000,1
0.035,2000,1
0.036,2000,1
0.037,2000,1
0.038,2000,1
0.039,2000,1
0.04,2000,1
0.041,2000,1
0.042,2000,1
0.043,2000,1
0.044,2000,1
0.045,2000,1
0.046,2000,1
0.047,2000,1
0.048,2000,1
0.049,2000,1
0.05,2000,1
0.051,2000,1
0.052,2000,1
0.053,2000,1
0.054,2000,1
0.055,2000,1
0.056,2000,1
0.057,2000,1
0.058,2000,1
